2021-02-22T18:40:16.350Z [AUDIT] Token created by 'jffe@000': tokenId='6737dc7b-4a21-472a-9499-1c58dbb9cc16', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019816350, refreshable=false
2021-02-22T18:40:16.353Z [AUDIT] Token created by 'jffe@000': tokenId='025c1e73-d1e1-45a9-b211-da2a80973387', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019816353, refreshable=false
2021-02-22T18:40:27.934Z [AUDIT] Token revoked by 'jffe@000': tokenId='2c414e6f-9223-4708-b53a-49534561ff62', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614021016295, refreshable=true
2021-02-22T18:40:35.584Z [AUDIT] Token created by 'jffe@000': tokenId='cdf01ecb-c99b-4f05-a82c-2a44eb87a1fb', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1614021035582, refreshable=true
2021-02-22T18:40:35.629Z [AUDIT] Token created by 'jffe@000': tokenId='6fc02640-123b-4b3f-87b4-f87fd4d161a1', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1614019835629, refreshable=false
2021-02-22T18:41:39.876Z [AUDIT] Token revoked by 'jffe@000': tokenId='cdf01ecb-c99b-4f05-a82c-2a44eb87a1fb', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1614021035582, refreshable=true
2021-02-22T18:41:44.333Z [AUDIT] Token created by 'jffe@000': tokenId='78e7ddb0-550f-48da-a7a4-37f9231484f1', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614021104330, refreshable=true
2021-02-22T18:41:44.391Z [AUDIT] Token created by 'jffe@000': tokenId='d498c26a-832b-404c-9404-7ed5bf0df14b', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019904391, refreshable=false
2021-02-22T18:41:44.394Z [AUDIT] Token created by 'jffe@000': tokenId='20a0e734-3969-4abd-9993-4b3449df7ffc', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019904394, refreshable=false
2021-02-22T18:41:44.398Z [AUDIT] Token created by 'jffe@000': tokenId='92cefbe6-227a-4f13-92b8-1064c8bfe08e', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019904398, refreshable=false
2021-02-22T18:41:44.758Z [AUDIT] Token created by 'jffe@000': tokenId='97da4410-5368-43a5-b23f-7dfa8c3bfd49', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019904758, refreshable=false
2021-02-22T18:42:14.301Z [AUDIT] Token created by 'jffe@000': tokenId='fd893c0d-c0a8-4a80-a4ff-06e68386484e', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614019934301, refreshable=false
2021-02-22T18:44:20.870Z [AUDIT] Token revoked by 'jffe@000': tokenId='78e7ddb0-550f-48da-a7a4-37f9231484f1', issuer='jffe@000', subject='jffe@000/users/admin', expiry=1614021104330, refreshable=true
2021-02-22T18:44:20.978Z [AUDIT] Token created by 'jffe@000': tokenId='71529a5c-6ff6-4df3-a66f-d66101759c69', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614020060978, refreshable=false
2021-02-22T18:44:20.979Z [AUDIT] Token created by 'jffe@000': tokenId='95be235f-b4d7-46e8-95cf-778453dd594d', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614020060979, refreshable=false
2021-02-22T18:44:20.979Z [AUDIT] Token created by 'jffe@000': tokenId='5a1d01e2-1eac-421e-90b0-7544fbc87ed7', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614020060979, refreshable=false
2021-02-22T18:44:20.984Z [AUDIT] Token created by 'jffe@000': tokenId='13f75aa8-b829-43d2-8c07-ef705c6449c2', issuer='jffe@000', subject='jffe@000/users/anonymous', expiry=1614020060983, refreshable=false
2021-02-22T18:44:27.246Z [AUDIT] Token created by 'jffe@000': tokenId='e5209e22-02c8-4ece-add3-533151297542', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1614021267231, refreshable=true
2021-02-22T18:44:27.283Z [AUDIT] Token created by 'jffe@000': tokenId='a918db9c-fe42-435c-a416-28e266f51e7f', issuer='jffe@000', subject='jffe@000/users/maven', expiry=1614020067283, refreshable=false
2021-02-22T18:45:17.515Z [AUDIT] Token created by 'jffe@000': tokenId='15893da2-0de2-4645-87b5-ad95f96fe700', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614020117515, refreshable=false
2021-02-22T18:45:17.516Z [AUDIT] Token created by 'jffe@000': tokenId='ca8a04f2-ad22-41b7-8fe9-5bf8d2ff1406', issuer='jffe@000', subject='jffe@000/users/jffe@000', expiry=1614020117516, refreshable=false
